TICKER,DATE,YEARREPORT,NPL (3-5),PPOP,NIM,Loan yield,COF from loan,Provision for credit losses
CTG,2020Q1,2020,0.0183158017245236,7367195000000.0,0.0281450385683646,0.0807218436715026,0.0145262983351457,-4392768000000.0
CTG,2020Q2,2020,0.0169659327317862,6692971000000.0,0.0261472739062624,0.0758573612369162,0.0111442194490003,-2207393000000.0
CTG,2020Q3,2020,0.018736153709319,7762170000000.0,0.0299999835018398,0.0769731796992753,0.0162367312610275,-4858146000000.0
CTG,2020Q4,2020,0.0093753462840826,7396185000000.0,0.0326771391498716,0.0757370376812864,0.0066845494550912,-689874000000.0
CTG,2021Q1,2021,0.0088026238338304,9410324000000.0,0.0328713184348182,0.0734543556304699,0.0184799826423691,-1350133000000.0
CTG,2021Q2,2021,0.0134470214225278,9896321000000.0,0.0320186844394555,0.0722590857595982,0.0071633368258538,-7106255000000.0
CTG,2021Q3,2021,0.0166857646653614,8608540000000.0,0.0279688192421256,0.0677118546579763,0.0084077879207189,-5547913000000.0
CTG,2021Q4,2021,0.0126478046136783,8055307000000.0,0.0288513427220779,0.0690125006814113,0.0119097200284307,-4377224000000.0
CTG,2022Q1,2022,0.0124608038839645,10249179000000.0,0.0262063830232657,0.0665638981793542,0.0146120839692109,-4426683000000.0
CTG,2022Q2,2022,0.0134650505737953,11668335000000.0,0.0296122215050186,0.0723998103098186,0.025162317325034,-5883273000000.0
CTG,2022Q3,2022,0.0141754005046702,12477190000000.0,0.0311556474035397,0.0778697672977481,0.028827660137168,-8320626000000.0
CTG,2022Q4,2022,0.0123906032416019,10881891000000.0,0.0300842520340808,0.0849094747852669,0.0424852032279497,-5532595000000.0
CTG,2023Q1,2023,0.0127787015983078,12704156000000.0,0.0289932690797566,0.0890649671555557,0.0309943668114344,-6723821000000.0
CTG,2023Q2,2023,0.0127332099381501,13028549000000.0,0.0285569469171452,0.0898645105413548,0.0360683207710157,-6478353000000.0
CTG,2023Q3,2023,0.0136630096588902,12311275000000.0,0.0286856832938487,0.0853017864906551,0.0560182828632135,-7440325000000.0
CTG,2023Q4,2023,0.0112725376030911,12171223000000.0,0.0305230993646914,0.0807172903656287,0.0446762783440231,-4472642000000.0
CTG,2024Q1,2024,0.01347163070126,14259441000000.0,0.0302795827396315,0.0724751271030785,0.0392590017480816,-8049159000000.0
CTG,2024Q2,2024,0.0156826496233236,14566685000000.0,0.0296009396863309,0.0683444400402644,0.0286487000627168,-7816739000000.0
CTG,2024Q3,2024,0.0144669849041408,15821343000000.0,0.0289160118903044,0.0676628721716543,0.0178906555280689,-9268664000000.0
CTG,2024Q4,2024,0.0121895000079543,14715285000000.0,0.0286911381427154,0.0665219400811066,0.0103481045727462,-2464267000000.0
CTG,2025Q1,2025,0.0155355846705692,14934160000000.0,0.025833832903613,0.0630665523061537,0.0117065961341793,-8110962000000.0
EIB,2017Q1,2017,0.0299550764672578,303450000000.0,,,,-133044000000.0
EIB,2017Q2,2017,0.0289452743653502,352175000000.0,0.0218163808178098,0.0835004650707397,0.0373326255882725,-125402000000.0
EIB,2017Q3,2017,0.0245998417087473,287735000000.0,0.0187795485736192,0.0825330225084462,0.0344225001315083,-227950000000.0
EIB,2017Q4,2017,0.0226838908815659,678795000000.0,0.0205499363158428,0.0831840916628538,0.0333890726579513,-118180000000.0
EIB,2018Q1,2018,0.0232055257641704,711638000000.0,0.019253260424118,0.0809361624024135,0.0332795678628419,-151559000000.0
EIB,2018Q2,2018,0.0219881912519167,381231000000.0,0.0242792631020644,0.0887591994055237,0.0351950742099161,-19647000000.0
EIB,2018Q3,2018,0.0206709599285414,365559000000.0,0.0230091351662618,0.0899833344858019,0.0363938658977353,-150751000000.0
EIB,2018Q4,2018,0.0184282570067315,92246000000.0,0.0251131651365746,0.0936489237642993,0.0373164717763901,-401589000000.0
EIB,2019Q1,2019,0.0187619576853779,343401000000.0,0.0229086946311405,0.0894290411993618,0.0451475495011747,6950000000.0
EIB,2019Q2,2019,0.0176935044040034,375833000000.0,0.0228865865096793,0.0953651715716882,0.0403288951865348,36353000000.0
