TICKER,CUR_MKT_CAP,TRADE_DATE
SFC,237.12064,2025-07-08
VGT,6250.0,2025-07-08
C32,272.79713,2025-07-08
DRG,1324.3,2025-07-08
HAR,347.33325,2025-07-08
MBS,16152.47891,2025-07-08
NNC,731.032,2025-07-08
SHA,134.7901,2025-07-08
SVI,757.11378,2025-07-08
SWC,2361.92,2025-07-08
TRC,1965.9375,2025-07-08
TV2,2606.50997,2025-07-08
ACB,114290.60932999999,2025-07-08
BCM,69862.5,2025-07-08
HSG,10960.33775,2025-07-08
PHP,12489.872,2025-07-08
SBB,1312.86804,2025-07-08
TCH,15368.964390000001,2025-07-08
TTF,1145.17954,2025-07-08
VIC,356747.62364,2025-07-08
VND,27096.93836,2025-07-08
BIC,4626.57351,2025-07-08
DBD,5070.6139,2025-07-08
DBT,250.47393,2025-07-08
FRT,25381.95707,2025-07-08
GMH,130.35,2025-07-08
HTL,345.0,2025-07-08
HVT,1008.1506899999999,2025-07-08
KDC,15997.308640000001,2025-07-08
PAP,6217.6,2025-07-08
SAV,438.66396999999995,2025-07-08
TCL,1037.4502,2025-07-08
TIS,993.54006,2025-07-08
TTD,1132.1856,2025-07-08
UIC,329.82759999999996,2025-07-08
FUE,,2025-07-08
CCI,394.67485999999997,2025-07-08
CMG,8800.678609999999,2025-07-08
CNG,1026.65447,2025-07-08
FUE,11710.02,2025-07-08
GEE,34843.195810000005,2025-07-08
TLD,544.18949,2025-07-08
VSN,1383.46695,2025-07-08
ABS,300.8,2025-07-08
FUE,318.63,2025-07-08
HAG,14380.63025,2025-07-08
SKG,691.57605,2025-07-08
ST8,168.72912,2025-07-08
TSJ,2453.3547200000003,2025-07-08
VIB,56007.602920000005,2025-07-08
ABB,8901.31615,2025-07-08
BSI,10648.88193,2025-07-08
BSQ,900.0,2025-07-08
CEO,10159.64092,2025-07-08
CQN,2364.07298,2025-07-08
DGC,38965.26517,2025-07-08
DSN,564.88067,2025-07-08
HHP,797.1655,2025-07-08
HPG,189584.00662,2025-07-08
HPX,1475.2176200000001,2025-07-08
IJC,4891.8415700000005,2025-07-08
NVT,741.195,2025-07-08
PAC,1620.69538,2025-07-08
PGI,2256.7497999999996,2025-07-08
PGS,1719.95851,2025-07-08
SCR,3220.85087,2025-07-08
TSC,588.6081899999999,2025-07-08
VFM,,2025-07-08
BCR,852.83984,2025-07-08
BTT,521.1,2025-07-08
CTI,1599.99993,2025-07-08
DGW,9676.29811,2025-07-08
DHT,6710.73119,2025-07-08
HHS,7106.16917,2025-07-08
NO1,173.28,2025-07-08
PNJ,27809.59936,2025-07-08
SGN,2189.7434900000003,2025-07-08
TCO,317.90431,2025-07-08
VOC,1729.56,2025-07-08
VTP,14589.60843,2025-07-08
ASG,1570.57477,2025-07-08
BVS,2440.3649,2025-07-08
CKG,2192.49198,2025-07-08
CTG,238427.63361000002,2025-07-08
DHG,13283.80081,2025-07-08
DLG,829.08792,2025-07-08
DMC,2160.04832,2025-07-08
ABT,594.75148,2025-07-08
CDN,3128.4,2025-07-08
CMM,1957.9999599999999,2025-07-08
CSV,4027.72172,2025-07-08
DNW,3756.0,2025-07-08
DRL,536.75,2025-07-08
FTS,13859.92036,2025-07-08
HTP,110.16597999999999,2025-07-08
ISH,1237.5,2025-07-08
KBC,25898.25587,2025-07-08
PGB,5880.0,2025-07-08
SBT,16127.99175,2025-07-08
TPB,36987.38674,2025-07-08
VAF,734.47429,2025-07-08
VNR,3939.6554300000003,2025-07-08
VNS,647.3766899999999,2025-07-08
ABR,259.0,2025-07-08
BRR,2193.75,2025-07-08
ITC,1415.04197,2025-07-08
KLB,6506.6738,2025-07-08
LSG,1611.0,2025-07-08
PAT,2357.5,2025-07-08
SID,1950.0,2025-07-08
SJS,11310.01976,2025-07-08
VIT,934.9937199999999,2025-07-08
BWE,10556.57491,2025-07-08
CII,8332.5531,2025-07-08
IDC,15806.9966,2025-07-08
NET,1825.46748,2025-07-08
PHS,2000.09329,2025-07-08
PLC,2052.25818,2025-07-08
PVS,15581.701050000001,2025-07-08
TCR,136.27543,2025-07-08
THG,1771.29171,2025-07-08
TVN,5085.0,2025-07-08
VAB,8207.39265,2025-07-08
VIF,6020.0,2025-07-08
APG,2694.6444,2025-07-08
FDC,614.1134599999999,2025-07-08
FUE,,2025-07-08
FUE,167.49,2025-07-08
GEX,35644.75845,2025-07-08
IDJ,867.45096,2025-07-08
PHR,8468.69988,2025-07-08
PXL,2199.97125,2025-07-08
SC5,247.97691,2025-07-08
SHP,3653.54931,2025-07-08
VCF,7928.55624,2025-07-08
VCP,2186.91007,2025-07-08
VPG,716.1675799999999,2025-07-08
APH,1529.15436,2025-07-08
FMC,2484.77778,2025-07-08
NTC,4058.39662,2025-07-08
PAN,5984.8345899999995,2025-07-08
SBS,703.7164799999999,2025-07-08
VNL,294.12213,2025-07-08
C47,257.30326,2025-07-08
CRE,4108.19085,2025-07-08
DRI,951.6,2025-07-08
IDP,13596.983839999999,2025-07-08
KSF,19680.0,2025-07-08
PDN,5400.9977,2025-07-08
PDR,17101.381309999997,2025-07-08
STK,2609.19695,2025-07-08
VCG,14771.80148,2025-07-08
BMI,2831.92416,2025-07-08
CC1,11927.049,2025-07-08
E1V,5982.22,2025-07-08
PTL,305.0,2025-07-08
VHM,325307.03072000004,2025-07-08
VPD,2686.05865,2025-07-08
CVT,1008.9993900000001,2025-07-08
HII,310.85793,2025-07-08
HND,5850.0,2025-07-08
HTI,460.31273999999996,2025-07-08
L18,1358.4718500000001,2025-07-08
PLX,47393.09037,2025-07-08
PTI,2882.15188,2025-07-08
QNS,17830.93542,2025-07-08
THD,10856.999210000002,2025-07-08
VC7,893.6421700000001,2025-07-08
VGI,227677.07776,2025-07-08
ABI,2128.31745,2025-07-08
DCM,17893.72,2025-07-08
FUE,896.184,2025-07-08
LLM,1371.28899,2025-07-08
PGV,21289.71947,2025-07-08
QTP,5895.0,2025-07-08
SHI,2379.29369,2025-07-08
SMB,1223.7125700000001,2025-07-08
TRA,2785.47629,2025-07-08
VCI,27133.63,2025-07-08
VSH,11658.50549,2025-07-08
ACL,599.4002800000001,2025-07-08
AGM,58.24,2025-07-08
DQC,319.67357,2025-07-08
EIB,44239.614420000005,2025-07-08
GHC,1444.17375,2025-07-08
OGC,1266.0,2025-07-08
PGD,2474.93277,2025-07-08
VBB,8374.52609,2025-07-08
VLB,2186.52221,2025-07-08
CCL,420.049,2025-07-08
FUC,,2025-07-08
HAP,747.75112,2025-07-08
HHC,1967.715,2025-07-08
OIL,11686.79335,2025-07-08
PTB,3641.44912,2025-07-08
SBM,1536.0329,2025-07-08
DCL,1679.9436899999998,2025-07-08
DTD,1180.3431699999999,2025-07-08
DTT,145.91758,2025-07-08
HPW,1402.51117,2025-07-08
MDG,135.25463,2025-07-08
MSN,108739.38225,2025-07-08
SEA,4999.62,2025-07-08
SSB,53770.5,2025-07-08
TDH,488.91301,2025-07-08
VEA,52620.48,2025-07-08
VRC,630.0,2025-07-08
ACC,1464.7498999999998,2025-07-08
BCF,1450.25421,2025-07-08
DNP,2748.8377,2025-07-08
HAX,1638.4551399999998,2025-07-08
HCM,25864.96227,2025-07-08
ND2,1884.77229,2025-07-08
PPC,3687.0501200000003,2025-07-08
VCA,134.40779999999998,2025-07-08
BTP,725.8272,2025-07-08
CDC,655.26374,2025-07-08
FIR,584.63206,2025-07-08
HRT,,2025-07-08
NAF,1373.82106,2025-07-08
NKG,6243.61379,2025-07-08
TPC,191.39413000000002,2025-07-08
VID,209.89739,2025-07-08
CTD,8564.002199999999,2025-07-08
DIG,11958.97703,2025-07-08
DPM,15222.90271,2025-07-08
DTL,609.34139,2025-07-08
IDI,1961.37976,2025-07-08
IMP,8039.26782,2025-07-08
LIX,1989.36,2025-07-08
MPC,5613.1362,2025-07-08
PSH,223.32051,2025-07-08
RTB,2805.4455,2025-07-08
SGR,2180.0996600000003,2025-07-08
VGR,3959.45,2025-07-08
BWS,3380.25583,2025-07-08
CAP,600.10962,2025-07-08
CMV,152.32773,2025-07-08
DNA,1408.23918,2025-07-08
KSV,32780.0,2025-07-08
POW,31498.17302,2025-07-08
TIG,1471.40716,2025-07-08
TMG,982.8,2025-07-08
TVT,323.4,2025-07-08
VCW,2430.0,2025-07-08
VPL,168749.56548,2025-07-08
FUE,2013.88,2025-07-08
GMD,26093.94239,2025-07-08
HDC,4717.48885,2025-07-08
NBB,2193.4995099999996,2025-07-08
REE,36561.924380000004,2025-07-08
SHS,12701.363519999999,2025-07-08
STB,89830.52887000001,2025-07-08
VIX,23201.162350000002,2025-07-08
AIC,1040.0,2025-07-08
BMP,11861.64992,2025-07-08
CST,668.40966,2025-07-08
DPR,3544.9460299999996,2025-07-08
GIL,1950.6473899999999,2025-07-08
HRC,992.2875300000001,2025-07-08
LEC,120.06,2025-07-08
NTL,2317.6181,2025-07-08
TCM,3562.83241,2025-07-08
TLH,640.2241,2025-07-08
VNZ,11721.41263,2025-07-08
ADS,606.57413,2025-07-08
GAS,158598.95662,2025-07-08
ADG,202.90114000000003,2025-07-08
CSM,1398.94104,2025-07-08
DXV,37.026,2025-07-08
HMC,324.86999,2025-07-08
MSB,33020.0,2025-07-08
NSC,1493.8338600000002,2025-07-08
PIT,99.75578,2025-07-08
PNC,330.46014,2025-07-08
TCD,674.99949,2025-07-08
TTE,1138.19148,2025-07-08
DAG,84.43975999999999,2025-07-08
FCN,2259.2497200000003,2025-07-08
KMR,173.47731,2025-07-08
MSH,4219.53825,2025-07-08
OCH,1240.0,2025-07-08
SBA,1796.50135,2025-07-08
SGP,5904.852440000001,2025-07-08
SLS,1929.9923600000002,2025-07-08
SVT,219.84942,2025-07-08
VEF,31071.09583,2025-07-08
VHC,13130.509800000002,2025-07-08
VPH,539.72515,2025-07-08
CMF,2431.62,2025-07-08
ELC,2268.8068,2025-07-08
FUE,100.386,2025-07-08
FUE,339.368,2025-07-08
LAS,2392.5556800000004,2025-07-08
SNZ,11746.54416,2025-07-08
VJC,51453.07672999999,2025-07-08
GDA,2305.2993500000002,2025-07-08
GEG,5894.1727,2025-07-08
HHV,6016.69521,2025-07-08
HVX,104.64363,2025-07-08
L14,962.8106300000001,2025-07-08
LHG,1672.90173,2025-07-08
LIC,2961.0,2025-07-08
NTP,11545.07985,2025-07-08
SAS,5858.53885,2025-07-08
SFI,639.13414,2025-07-08
SGT,2656.65758,2025-07-08
TBC,2387.6,2025-07-08
TBD,3841.57945,2025-07-08
TVS,3039.31399,2025-07-08
VFC,3623.4738500000003,2025-07-08
VGS,1698.0993500000002,2025-07-08
